candidate_id,candidate_type,mean_label,arch_mean,arch_lags,arima_p,arima_q,volatility_label,arch_vol,p,o,q,distribution,volatility_group,is_asymmetric,is_heavy_tail,status,forecast_policy,validation_n_obs,validation_RMSE,validation_MAE,validation_QLIKE,test_n_obs,test_RMSE,test_MAE,test_QLIKE,warnings,aic,bic,converged,loglikelihood,n_params,fit_rows,context_rows,arima_aic,arima_bic,arima_converged,arima_warnings,garch_warnings,garch_aic,garch_bic,garch_converged,garch_loglikelihood,garch_n_params
direct_zero_garch_3_3_ged,direct_arch,Zero,Zero,0,,,"GARCH(3,3)",GARCH,3,0,3,ged,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.720126750263328,2.3702898574761115,1.6357293485726023,745,3.61318234212122,1.4120749906392291,1.0673046507616286,,6957.252764605146,7003.751790253054,True,-3470.626382302573,8.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_1_1_1_normal,direct_arch,Zero,Zero,0,,,"GJR-GARCH(1,1,1)",GARCH,1,1,1,normal,GJR-GARCH,True,False,success,fixed_train_parameters_recursive_state_updates,750,4.684552954769252,2.3490462075525884,1.6191851472482521,745,3.5865581462028957,1.403912049423717,1.0548858366734644,,7023.269680208665,7046.519193032619,True,-3507.6348401043324,4.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_1_1_1_t,direct_arch,Zero,Zero,0,,,"GJR-GARCH(1,1,1)",GARCH,1,1,1,t,GJR-GARCH,True,True,success,fixed_train_parameters_recursive_state_updates,750,4.695744660902661,2.376405470355153,1.6275185591959538,745,3.581781809227389,1.4213618620636441,1.0570729105657097,,6926.953272200857,6956.0151632308,True,-3458.4766361004285,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_1_1_1_skewt,direct_arch,Zero,Zero,0,,,"GJR-GARCH(1,1,1)",GARCH,1,1,1,skewt,GJR-GARCH,True,True,success,fixed_train_parameters_recursive_state_updates,750,4.699062839335059,2.3840407407653563,1.6246435672647683,745,3.5990965037234233,1.4237988509834139,1.0609978418341752,,6900.203178442828,6935.07744767876,True,-3444.101589221414,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_1_1_1_ged,direct_arch,Zero,Zero,0,,,"GJR-GARCH(1,1,1)",GARCH,1,1,1,ged,GJR-GARCH,True,True,success,fixed_train_parameters_recursive_state_updates,750,4.689058099374733,2.3613068350852293,1.6242912875628608,745,3.5813178971021054,1.412113872764445,1.0557069730319275,,6943.784164477018,6972.8460555069605,True,-3466.892082238509,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_1_1_2_normal,direct_arch,Zero,Zero,0,,,"GJR-GARCH(1,1,2)",GARCH,1,1,2,normal,GJR-GARCH,True,False,success,fixed_train_parameters_recursive_state_updates,750,4.684561445135488,2.349055966181433,1.6191917459305978,745,3.5865643032431382,1.4039171130899064,1.0548892140967823,,7025.269680318677,7054.33157134862,True,-3507.6348401593386,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_1_1_2_t,direct_arch,Zero,Zero,0,,,"GJR-GARCH(1,1,2)",GARCH,1,1,2,t,GJR-GARCH,True,True,success,fixed_train_parameters_recursive_state_updates,750,4.695747837134113,2.3764057467951845,1.6275132162919566,745,3.5817744367604596,1.4213709589367596,1.057063221148833,,6928.9532713384215,6963.827540574353,True,-3458.4766356692107,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_1_1_2_skewt,direct_arch,Zero,Zero,0,,,"GJR-GARCH(1,1,2)",GARCH,1,1,2,skewt,GJR-GARCH,True,True,success,fixed_train_parameters_recursive_state_updates,750,4.699048315877404,2.383994615681755,1.6246415559853133,745,3.5990652803554832,1.4237815756236984,1.060982108255245,,6902.203178623808,6942.889826065728,True,-3444.101589311904,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_1_1_2_ged,direct_arch,Zero,Zero,0,,,"GJR-GARCH(1,1,2)",GARCH,1,1,2,ged,GJR-GARCH,True,True,success,fixed_train_parameters_recursive_state_updates,750,4.689056284895665,2.3613065752446456,1.6242915328200875,745,3.5813248864059393,1.4121093724124454,1.055711482544798,,6945.784164605133,6980.658433841065,True,-3466.8920823025665,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_2_1_1_normal,direct_arch,Zero,Zero,0,,,"GJR-GARCH(2,1,1)",GARCH,2,1,1,normal,GJR-GARCH,True,False,success,fixed_train_parameters_recursive_state_updates,750,4.68301483651033,2.3482317872966774,1.619708875629809,745,3.582244736976599,1.40301404513425,1.053970743643006,,7025.093216531544,7054.155107561487,True,-3507.546608265772,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_2_1_1_t,direct_arch,Zero,Zero,0,,,"GJR-GARCH(2,1,1)",GARCH,2,1,1,t,GJR-GARCH,True,True,success,fixed_train_parameters_recursive_state_updates,750,4.693938774891722,2.37541007743079,1.6292479890339837,745,3.5706295506950063,1.4200929630885002,1.0554948431176194,,6928.095889086086,6962.970158322018,True,-3458.047944543043,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_gjr_garch_2_1_1_skewt,direct_arch,Zero,Zero,0,,,"GJR-GARCH(2,1,1)",GARCH,2,1,1,skewt,GJR-GARCH,True,True,success,fixed_train_parameters_recursive_state_updates,750,4.697768124067583,2.3837873543678896,1.6254289986870423,745,3.594394189008599,1.4231205876509083,1.0598033122606432,,6901.980831821707,6942.667479263628,True,-3443.9904159108537,7.0,2471.0,3968.0,,,,,,,,,,
