model,split,regime,threshold_source,q50,q75,q90,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
Calibrated-ARIMA-GARCH-LSTM-isotonic,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,11.062948128181846,6.098850781208028,5.1767711722023755,7.95855861532247,1.8597078341144424,0.23367395077470188
Calibrated-ARIMA-GARCH-LSTM-isotonic,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.6048025795158912,0.43269230056079516,1.4462729182051755,1.524715411321571,1.6248358567649273,1.0656650052199415
Calibrated-ARIMA-GARCH-LSTM-isotonic,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.041541935363126,0.9424590841558745,0.776647718600097,0.5675483883492694,1.5100074725051438,2.6605792624960904
Calibrated-ARIMA-GARCH-LSTM-scale_mean,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.721249941039617,1.6835882086162872,0.6016418043908035,0.08384782905334565,1.7674360376696328,21.079091225428808
Calibrated-ARIMA-GARCH-LSTM-scale_mean,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,11.05770850616333,5.824537731721858,4.521963771094051,7.95855861532247,2.1366752332134245,0.26847515190749766
Calibrated-ARIMA-GARCH-LSTM-scale_mean,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.7289178155553817,0.5781588299825577,1.4611232236387193,1.524715411321571,2.0218660674402154,1.326061278338973
Calibrated-ARIMA-GARCH-LSTM-scale_mean,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.3534488962411717,1.2879044035418215,0.9145203696415368,0.5675483883492694,1.8554527918910906,3.2692415835903046
Calibrated-ARIMA-GARCH-LSTM-scale_qlike,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.6024042821677553,1.5668501633693888,0.5367693630750462,0.08384782905334565,1.6506979924227343,19.68683042911615
Calibrated-ARIMA-GARCH-LSTM-scale_qlike,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,11.137396360837771,5.963009445364873,4.72146715751402,7.95855861532247,1.9955491699575951,0.25074253598077423
Calibrated-ARIMA-GARCH-LSTM-scale_qlike,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.6256145454560436,0.4922886709451818,1.4482628264128499,1.524715411321571,1.8883230778024074,1.2384757599883336
Calibrated-ARIMA-GARCH-LSTM-scale_qlike,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.2303196363241875,1.1653529067086712,0.8684891208006866,0.5675483883492694,1.7329012950579403,3.0533102209983065
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.517332207133082,1.4374595692547372,0.43697146521480296,0.08384782905334565,1.5213073983080831,18.14367068872108
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,10.998507627891062,5.927130575280786,4.875523928380934,7.95855861532247,2.0771286865408913,0.2609930751206422
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.685206200251532,0.5283672325939966,1.4581355008486228,1.524715411321571,1.805141623334331,1.1839203630595536
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.1640821710805744,1.0577011113435302,0.8189069088703926,0.5675483883492694,1.6252494996927995,2.863631600505261
