model,split,model_group,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,extreme_regime_qlike,spike90_underprediction_rate,spike90_severe_underprediction_rate,spike90_average_pred_actual_ratio,var1_violation_rate,var1_kupiec_p_value
Calibrated-Hybrid-QLIKE-scale_qlike,test,neural_or_hybrid,726,3.814125439133243,1.8951567343513498,1.2397588108190973,1.2119119537615395,1.9213415356864465,1.5853804640865001,4.505599130138475,1.0,0.9069767441860463,0.3044905234261213,0.012396694214876,0.5315532780578027
Calibrated-Hybrid-QLIKE-affine_nonnegative,test,neural_or_hybrid,726,3.8177244583703236,1.911601485328981,1.2444194621895985,1.2119119537615395,1.9432029876462595,1.603419276140428,4.474457925845397,1.0,0.9069767441860463,0.3079550844250174,0.0110192837465564,0.7859536730547492
Calibrated-LSTM-QLIKE-scale_mean,test,neural_or_hybrid,726,3.8339894039313203,1.9752286614614907,1.2607023611571404,1.2119119537615395,2.0271615833152734,1.6726970775586107,4.33752546326304,1.0,0.8604651162790697,0.318191528270085,0.0110192837465564,0.7859536730547492
Calibrated-LSTM-LogTarget-Small-scale_qlike,test,neural_or_hybrid,726,3.8581302462083475,2.0021477889509476,1.2617717236583765,1.2119119537615395,2.065361266946686,1.7042172581400863,4.345042661007277,1.0,0.8604651162790697,0.3283195664904086,0.0137741046831955,0.3336797522874875
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,test,neural_or_hybrid,726,3.859583364654549,2.007251373117045,1.263195570834396,1.2119119537615395,2.0720461431534374,1.7097332332783817,4.33689257615491,1.0,0.8604651162790697,0.3293822259356916,0.0137741046831955,0.3336797522874875
Calibrated-Hybrid-QLIKE-scale_mean,test,neural_or_hybrid,726,3.8461248627778617,2.0273910495666403,1.2773078561318574,1.2119119537615395,2.0951878110487305,1.728828405847202,4.279097589512176,1.0,0.813953488372093,0.3320413478878593,0.0110192837465564,0.7859536730547492
Calibrated-LSTM-LogTarget-Small-scale_mean,test,neural_or_hybrid,726,3.8831155746494064,2.0857517076369616,1.2849862516221993,1.2119119537615395,2.173763567285158,1.7936645979422992,4.220270523052499,1.0,0.8372093023255814,0.3455517073382446,0.012396694214876,0.5315532780578027
Hybrid-LogTarget,test,neural_or_hybrid,726,3.867812570832169,1.1092997951469603,2.0863595613632993,1.2119119537615395,0.3394889296120576,0.2801267274890308,18.631208583301092,1.0,1.0,0.0606071200524588,0.0647382920110192,3.543211091217051e-23
Hybrid-LogTarget-Small,test,neural_or_hybrid,726,3.8680675726207743,1.1081647402489878,2.232917375355168,1.2119119537615395,0.33366970656845735,0.275325039523549,19.92922005500072,1.0,1.0,0.0601451853296955,0.0661157024793388,5.016479870753921e-24
LSTM-LogTarget-Small,test,neural_or_hybrid,726,3.888175741538346,1.1235456755796545,2.2814987601126595,1.2119119537615395,0.3427646517753371,0.28282966490384237,20.278419969423837,1.0,1.0,0.0544874854003057,0.071625344352617,1.6267781418588974e-27
LSTM-LogTarget,test,neural_or_hybrid,726,3.866882195152324,1.1086255618796224,2.301501785580888,1.2119119537615395,0.3095198615556065,0.25539797721684065,20.2557289867598,1.0,1.0,0.0564749759634859,0.0771349862258953,3.810527114793049e-31
ComboStack-PoolC_GARCH_CalibratedNeural,validation,benchmark_garch_family,731,4.563170766970379,2.314301730776777,1.5009090751301228,2.1576002606846854,2.157600260684686,1.0000000000000002,,,,,,
ComboPair-BestRefitGARCH_BestCalibratedNeural,validation,benchmark_garch_family,731,4.581357956318984,2.316104717561244,1.5089873949493346,2.1576002606846854,2.1290025379511577,0.9867455880245155,,,,,,
