proxy,model,split,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,qlike_rank
yang_zhang_20,AdvGARCH-BestQLIKE,validation,750,1.16328928389893,0.6797437447198279,1.41577598566956,1.9017895715564497,1.6590120539627702,0.8723425970860765,14.0
yang_zhang_20,AdvGARCH-BestSymmetric,test,744,1.0692543545872573,0.47397416500617406,0.8028777884839493,1.0997460973761917,1.2537226720280465,1.1400110216523769,3.0
yang_zhang_20,AdvGARCH-BestSymmetric,validation,750,0.9529007247393307,0.5874511797228028,1.3706731232379146,1.9017895715564497,1.9938429918260572,1.0484035782120047,3.0
yang_zhang_20,Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,test,725,1.4740048608583924,1.0509165886842833,1.0881264033808424,1.0950145343807003,1.7348319482025243,1.5843003848197148,44.0
yang_zhang_20,Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,validation,731,1.3635917145501253,0.9163066805913543,1.512093726045853,1.937985542881421,2.0079758244904182,1.036114965803581,39.0
yang_zhang_20,Calibrated-ARIMA-GARCH-LSTM-isotonic,test,725,1.3533714805717743,0.8684104662151589,1.0292945133443692,1.0950145343807003,1.5153460180569867,1.383859273533762,27.0
yang_zhang_20,Calibrated-ARIMA-GARCH-LSTM-isotonic,validation,731,1.61369997224879,0.9399969400975191,1.5027713638321465,1.937985542881421,2.157600260684686,1.113321133178702,35.0
yang_zhang_20,Calibrated-ARIMA-GARCH-LSTM-scale_mean,test,725,1.5238713170801763,1.1547601119633142,1.1212238499337148,1.0950145343807003,1.8641030524537316,1.7023546208069278,51.0
yang_zhang_20,Calibrated-ARIMA-GARCH-LSTM-scale_mean,validation,731,1.3632176377302467,0.9722856480007882,1.5217581884507096,1.937985542881421,2.1576002606846854,1.1133211331787018,43.0
yang_zhang_20,Calibrated-ARIMA-GARCH-LSTM-scale_qlike,test,725,1.476145408929897,1.0557383149387922,1.089689702637485,1.0950145343807003,1.7409802113187582,1.5899151624534302,47.0
yang_zhang_20,Calibrated-ARIMA-GARCH-LSTM-scale_qlike,validation,731,1.3631334564215516,0.9186046286842995,1.512463711489135,1.937985542881421,2.015092112447183,1.0397869684059247,40.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,test,725,1.4804819955173925,0.9762581429317089,1.062212133418949,1.0950145343807003,1.64578023655584,1.5029757002144566,35.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,validation,731,1.5016059800163002,0.9193638137014392,1.4981966706084828,1.937985542881421,2.126596292165643,1.0973230940638459,31.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-Small-isotonic,test,725,1.4662143190194008,0.9330505672644888,1.0370305867705174,1.0950145343807003,1.6067404654445387,1.4673234144360026,28.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-Small-isotonic,validation,731,1.5535686458272044,0.9465224524042877,1.5002492930380518,1.937985542881421,2.1576002606846854,1.1133211331787018,34.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-Small-scale_mean,test,725,1.489219740924951,0.9937106128642871,1.0678212210471762,1.0950145343807003,1.6697743151834659,1.5248878099392795,38.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-Small-scale_mean,validation,731,1.5147677492913676,0.9320001838344685,1.4991230312418444,1.937985542881421,2.157600260684686,1.113321133178702,33.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-Small-scale_qlike,test,725,1.4764904931007343,0.9680580018649568,1.059578493767468,1.0950145343807003,1.6344416486349247,1.492620962843479,34.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-Small-scale_qlike,validation,731,1.4957101700945619,0.9135946888373241,1.4978237265578962,1.937985542881421,2.1119451264173694,1.089763096621094,30.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-affine_nonnegative,test,725,1.6444267971535889,1.1728592191682523,1.1514303567358544,1.0950145343807003,1.8486229793107762,1.6882177553527078,55.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-affine_nonnegative,validation,731,1.5251695326948322,1.0555337122150337,1.5542618250386626,1.937985542881421,2.071791036046708,1.06904359718099,51.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-isotonic,test,725,1.780099053272777,1.2664887186610285,1.1541802946873623,1.0950145343807003,1.9451864039107418,1.776402360732926,56.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-isotonic,validation,731,1.6673344461486006,1.068880089565119,1.54954879434851,1.937985542881421,2.157600260684685,1.1133211331787016,49.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-scale_mean,test,725,1.6826569509622569,1.2362741119498686,1.1692643760540105,1.0950145343807003,1.92518905269494,1.758140181932613,60.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-scale_mean,validation,731,1.5544724539639323,1.0936748196123396,1.5562538787321483,1.937985542881421,2.1576002606846854,1.1133211331787018,53.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-scale_qlike,test,725,1.652801314612141,1.187130459188376,1.1554425378527156,1.0950145343807003,1.8659263321597301,1.7040196943276456,58.0
yang_zhang_20,Calibrated-Hybrid-LogTarget-scale_qlike,validation,731,1.531195814383541,1.0639948704104447,1.5545801341302528,1.937985542881421,2.091183271092591,1.0790499850599473,52.0
yang_zhang_20,Calibrated-Hybrid-QLIKE-affine_nonnegative,test,725,1.6941341095556426,1.2752274764425091,1.1997781232697724,1.0950145343807003,1.9431002020479327,1.774497178840533,65.0
yang_zhang_20,Calibrated-Hybrid-QLIKE-affine_nonnegative,validation,731,1.5968593877094803,1.1640087027559463,1.6006248581962956,1.937985542881421,2.001088041176713,1.032560871533371,63.0
